scenario_id,ground_truth,predicted,correct,line_count,events_count,result_file
scenario_01,Normal,Normal,True,269,4,results\baseline\scenario_01.json
scenario_02,Normal,Normal,True,22,4,results\baseline\scenario_02.json
scenario_03,Normal,Normal,True,22,4,results\baseline\scenario_03.json
scenario_04,Normal,Anomaly,False,38,3,results\baseline\scenario_04.json
scenario_05,Normal,Anomaly,False,38,3,results\baseline\scenario_05.json
scenario_06,Anomaly,Normal,False,223,4,results\baseline\scenario_06.json
scenario_07,Anomaly,Anomaly,True,40,5,results\baseline\scenario_07.json
scenario_08,Anomaly,Anomaly,True,40,5,results\baseline\scenario_08.json
scenario_09,Anomaly,Anomaly,True,39,4,results\baseline\scenario_09.json
scenario_10,Anomaly,Anomaly,True,8,4,results\baseline\scenario_10.json
