scenario_id,ground_truth,predicted,correct,line_count,events_count,result_file
scenario_01,Normal,Normal,True,269,3,results\workflow\scenario_01.json
scenario_02,Normal,Normal,True,22,4,results\workflow\scenario_02.json
scenario_03,Normal,Normal,True,22,3,results\workflow\scenario_03.json
scenario_04,Normal,Anomaly,False,38,4,results\workflow\scenario_04.json
scenario_05,Normal,Normal,True,38,4,results\workflow\scenario_05.json
scenario_06,Anomaly,Normal,False,223,4,results\workflow\scenario_06.json
scenario_07,Anomaly,Anomaly,True,40,5,results\workflow\scenario_07.json
scenario_08,Anomaly,Anomaly,True,40,4,results\workflow\scenario_08.json
scenario_09,Anomaly,Anomaly,True,39,6,results\workflow\scenario_09.json
scenario_10,Anomaly,Anomaly,True,8,4,results\workflow\scenario_10.json
scenario_11,Normal,Normal,True,19,3,results\workflow\scenario_11.json
scenario_12,Normal,Normal,True,19,2,results\workflow\scenario_12.json
scenario_13,Normal,Normal,True,19,5,results\workflow\scenario_13.json
scenario_14,Normal,Normal,True,19,2,results\workflow\scenario_14.json
scenario_15,Normal,Normal,True,19,4,results\workflow\scenario_15.json
scenario_16,Anomaly,Anomaly,True,20,3,results\workflow\scenario_16.json
scenario_17,Anomaly,Anomaly,True,20,4,results\workflow\scenario_17.json
scenario_18,Anomaly,Anomaly,True,20,4,results\workflow\scenario_18.json
scenario_19,Anomaly,Anomaly,True,20,3,results\workflow\scenario_19.json
scenario_20,Anomaly,Normal,False,22,3,results\workflow\scenario_20.json
